layer,path,gene,TCGA-OR-A5K5|y=1,TCGA-OR-A5KO|y=3
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),DPYSL5,0.00493563148773446,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),SEMA3A,0.004917643879429612,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PLXNA2,0.004904208234917162,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CRMP1,0.004897458488580808,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),SCMH1,0.0007854246860742329,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CBX4,0.0007845362700969506,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RING1,0.000781072641457682,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RNF2,0.0007790080085538905,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PHC3,0.0007771807304554536,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),BMI1,0.0007748396934720379,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PTEN,0.0005807863397892981,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RIPK1,0.0004312930655712699,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),IFIH1,0.00043076695276893576,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),YOD1,0.00042818129868637395,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),OTUD7A,0.0004280652345883332,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RHOA,0.00042794194279857645,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),OTUB2,0.0004276315730853755,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CDK1,0.000427457968140664,0.00022924304711669646
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),VCPIP1,0.0004271721585449445,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),ZRANB1,0.0004266244328392267,0.0
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),NBN,0.0,0.0018384624858223605
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),KAT5,0.0,0.0018229877325771915
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),BLM,0.0,0.0018154111117860139
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),HUS1,0.0,0.0012213979003958958
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RAD9A,0.0,0.0012184451184814316
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RAD1,0.0,0.0012147889610933382
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RFC3,0.0,0.0012117678660063247
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),GEN1,0.0,0.00045936001570314085
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),EME2,0.0,0.0004562680674976508
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),UBE2N,0.0,0.0004532670739976208
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),BABAM1,0.0,0.0004521798823666802
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POLE4,0.0,0.0003046475212368713
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POLE3,0.0,0.0003040289496294979
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),TIPIN,0.0,0.0003038831681061692
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PPP4C,0.0,0.00030184510791226096
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POLE,0.0,0.0003014587328542019
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PRKAB1,0.0,0.00015326297196688668
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PRKAG3,0.0,0.00015287003854098577
1,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),TP53INP1,0.0,0.00015260878425207153
