layer,path,gene,TCGA-OR-A5K5|y=1,TCGA-OR-A5KO|y=3
1,mRNA→patient (gate),NTF4,0.02241072990000248,0.0
1,mRNA→patient (gate),TSPAN32,0.022393301129341125,0.0
1,mRNA→patient (gate),COTL1,0.021732131019234657,0.0
1,mRNA→patient (gate),PRR27,0.021122723817825317,0.0
1,mRNA→patient (gate),ORMDL2,0.021072983741760254,0.0
1,mRNA→patient (gate),HUNK,0.021064341068267822,0.0
1,mRNA→patient (gate),ADRA2C,0.021035127341747284,0.0
1,mRNA→patient (gate),SMIM1,0.021014977246522903,0.0
1,mRNA→patient (gate),GNG2,0.020845036953687668,0.0
1,mRNA→patient (gate),TMIGD2,0.020835641771554947,0.0
1,mRNA→patient (gate),SCAND1,0.020790420472621918,0.0
1,mRNA→patient (gate),ST3GAL5,0.02072243206202984,0.0
1,mRNA→patient (gate),CNTN2,0.02069583721458912,0.0
1,mRNA→patient (gate),ETV5,0.020633524283766747,0.0
1,mRNA→patient (gate),CRABP2,0.02057688497006893,0.0
1,mRNA→patient (gate),EPHA8,0.02044239640235901,0.0
1,mRNA→patient (gate),PPP1R14C,0.020427249372005463,0.0
1,mRNA→patient (gate),RNF43,0.02024451643228531,0.0
1,mRNA→patient (gate),CCDC130,0.0201493538916111,0.0
1,mRNA→patient (gate),BLVRA,0.02014772966504097,0.0
1,mRNA→patient (gate),RAB40A,0.0,0.022267498075962067
1,mRNA→patient (gate),AKR1C4,0.0,0.02112480066716671
1,mRNA→patient (gate),PALLD,0.0,0.02093595638871193
1,mRNA→patient (gate),ROPN1B,0.0,0.020917652174830437
1,mRNA→patient (gate),ENSG00000146281,0.0,0.020659247413277626
1,mRNA→patient (gate),SOS2,0.0,0.020641829818487167
1,mRNA→patient (gate),CNTRL,0.0,0.020589090883731842
1,mRNA→patient (gate),CENPK,0.0,0.020575441420078278
1,mRNA→patient (gate),ZNF572,0.0,0.020398519933223724
1,mRNA→patient (gate),GLTSCR1L,0.0,0.020359911024570465
1,mRNA→patient (gate),RMI1,0.0,0.02035258337855339
1,mRNA→patient (gate),TRIM31,0.0,0.020340068265795708
1,mRNA→patient (gate),PRPS2,0.0,0.020314104855060577
1,mRNA→patient (gate),ACTL6A,0.0,0.02030852809548378
1,mRNA→patient (gate),ZNF718,0.0,0.02025483176112175
1,mRNA→patient (gate),DNAH5,0.0,0.020183689892292023
1,mRNA→patient (gate),PRPF18,0.0,0.02016574703156948
1,mRNA→patient (gate),AC231657.1,0.0,0.020132560282945633
1,mRNA→patient (gate),CELF2,0.0,0.020111607387661934
1,mRNA→patient (gate),TEX22,0.0,0.020038755610585213
