layer,path,gene,TCGA-OR-A5K5|y=1,TCGA-OR-A5KO|y=3
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),DPYSL2,0.004037704331283365,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),DPYSL3,0.004032749817016179,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),FES,0.004028680401395757,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),CDK5,0.0040087505455477235,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),FYN,0.004006562526542856,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RNF2,0.000792447213622819,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),BMI1,0.0007911808480425171,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RING1,0.0007897628077282353,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),SCMH1,0.0007876452535026546,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),PHC3,0.0007790936412685207,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),SUMO1,0.0004272407137722936,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),TP53,0.0004216883731977656,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NUP50,0.00033734850228634436,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NUP88,0.00033563432385137694,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NUP133,0.00033549073742777545,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POM121,0.0003344298745794733,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NUP35,0.00033440764072946525,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NUP54,0.00033332623037164244,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NDC1,0.00033247667171295106,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),SUMO3,0.0003075311414503946,0.0
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RMI1,0.0,0.001807208245969208
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),TARBP2,0.0,0.001669682541821954
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD51,0.0,0.0014292580034012178
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD51C,0.0,0.0012870037970673723
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RFC3,0.0,0.0012160061499194574
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RPA1,0.0,0.00121058560044629
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD17,0.0,0.0012105465623386824
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD51AP1,0.0,0.001208854264106024
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),ANG,0.0,0.0011230308301039549
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLR2L,0.0,0.00112175576300802
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),TSN,0.0,0.0011201094955995972
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLR2F,0.0,0.001116837732458853
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLR2E,0.0,0.001115642090872615
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),DGCR8,0.0,0.0011096484162617382
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),ELAC2,0.0,0.0011089140104905137
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),XPO5,0.0,0.0011053058657461423
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),EIF4G1,0.0,0.0005631365024069968
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),KDM5B,0.0,0.000560129241904378
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),NOBOX,0.0,0.0005590991012626167
0,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),BCL2,0.0,0.0005589183577932311
